"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_0201_0603Metric","12.115401mm","13.718201mm","12.115401mm","13.718201mm","12.115401mm","13.398201mm","T","90","12pF",
"C10","C_0402_1005Metric","28.600001mm","7.393601mm","28.600001mm","7.393601mm","28.120001mm","7.393601mm","T","0","1uF",
"C11","C_0201_0603Metric","25.907601mm","17.147201mm","25.907601mm","17.147201mm","25.907601mm","16.827201mm","T","90","100nF",
"C12","C_0201_0603Metric","21.335601mm","17.274201mm","21.335601mm","17.274201mm","21.335601mm","16.954201mm","T","90","100nF",
"C13","C_0201_0603Metric","17.271601mm","11.686201mm","17.271601mm","11.686201mm","17.591601mm","11.686201mm","T","180","100nF",
"C14","C_0201_0603Metric","21.462601mm","6.225201mm","21.462601mm","6.225201mm","21.462601mm","6.545201mm","T","270","100nF",
"C15","C_0201_0603Metric","26.415601mm","6.225201mm","26.415601mm","6.225201mm","26.415601mm","6.545201mm","T","270","100nF",
"C16","C_0201_0603Metric","28.386801mm","11.559201mm","28.386801mm","11.559201mm","28.066801mm","11.559201mm","T","0","100nF",
"C17","C_0402_1005Metric","6.984601mm","24.157601mm","6.984601mm","24.157601mm","7.464601mm","24.157601mm","T","180","1uF",
"C18","C_0201_0603Metric","28.396801mm","8.257201mm","28.396801mm","8.257201mm","28.076801mm","8.257201mm","T","0","100nF",
"C2","C_0201_0603Metric","14.909401mm","10.289201mm","14.909401mm","10.289201mm","14.589401mm","10.289201mm","T","0","12pF",
"C3","C_0201_0603Metric","26.745801mm","23.294001mm","26.745801mm","23.294001mm","26.745801mm","23.614001mm","T","270","100nF",
"C4","C_0201_0603Metric","34.035601mm","16.512201mm","34.035601mm","16.512201mm","34.035601mm","16.832201mm","T","270","100nF",
"C5","C_0603_1608Metric","38.607601mm","15.902601mm","38.607601mm","15.902601mm","39.382601mm","15.902601mm","T","180","10uF",
"C6","C_0603_1608Metric","33.794601mm","6.479201mm","33.794601mm","6.479201mm","33.019601mm","6.479201mm","T","0","10uF",
"C7","C_0201_0603Metric","17.271601mm","10.924201mm","17.271601mm","10.924201mm","17.591601mm","10.924201mm","T","180","100nF",
"C8","C_0201_0603Metric","28.396801mm","12.321201mm","28.396801mm","12.321201mm","28.076801mm","12.321201mm","T","0","100nF",
"C9","C_0402_1005Metric","28.600001mm","9.146201mm","28.600001mm","9.146201mm","28.120001mm","9.146201mm","T","0","1uF",
"D1","LED_0603_1608Metric","14.680801mm","23.624201mm","14.680801mm","23.624201mm","14.680801mm","24.411701mm","T","270","LED",
"D2","LED_0603_1608Metric","13.029801mm","23.624201mm","13.029801mm","23.624201mm","13.029801mm","24.411701mm","T","270","LED",
"Q1","SOT-23","12.953601mm","2.288201mm","12.953601mm","2.288201mm","13.953601mm","1.338201mm","T","180","Si2301DS",
"R1","R_0201_0603Metric","35.178601mm","19.941201mm","35.178601mm","19.941201mm","34.858601mm","19.941201mm","T","0","1k",
"R10","R_0201_0603Metric","24.129601mm","4.752001mm","24.129601mm","4.752001mm","24.129601mm","5.072001mm","T","270","1k",
"R11","R_0201_0603Metric","8.381601mm","22.862201mm","8.381601mm","22.862201mm","8.061601mm","22.862201mm","T","0","1k",
"R12","R_0201_0603Metric","6.857601mm","22.862201mm","6.857601mm","22.862201mm","7.177601mm","22.862201mm","T","180","20R",
"R13","R_0201_0603Metric","6.857601mm","20.322201mm","6.857601mm","20.322201mm","7.177601mm","20.322201mm","T","180","20R",
"R14","R_0201_0603Metric","6.857601mm","17.782201mm","6.857601mm","17.782201mm","7.177601mm","17.782201mm","T","180","20R",
"R15","R_0201_0603Metric","6.857601mm","15.242201mm","6.857601mm","15.242201mm","7.177601mm","15.242201mm","T","180","20R",
"R16","R_0201_0603Metric","6.857601mm","12.702201mm","6.857601mm","12.702201mm","7.177601mm","12.702201mm","T","180","20R",
"R17","R_0201_0603Metric","6.857601mm","10.162201mm","6.857601mm","10.162201mm","7.177601mm","10.162201mm","T","180","20R",
"R18","R_0201_0603Metric","6.857601mm","7.622201mm","6.857601mm","7.622201mm","7.177601mm","7.622201mm","T","180","20R",
"R19","R_0201_0603Metric","6.857601mm","5.082201mm","6.857601mm","5.082201mm","7.177601mm","5.082201mm","T","180","20R",
"R2","R_0201_0603Metric","16.179401mm","23.294001mm","16.179401mm","23.294001mm","16.179401mm","22.974001mm","T","90","DNF",
"R20","R_0201_0603Metric","6.857601mm","2.542201mm","6.857601mm","2.542201mm","7.177601mm","2.542201mm","T","180","20R",
"R21","R_0201_0603Metric","14.680801mm","21.287401mm","14.680801mm","21.287401mm","14.680801mm","20.967401mm","T","90","1k",
"R22","R_0201_0603Metric","13.029801mm","21.262001mm","13.029801mm","21.262001mm","13.029801mm","20.942001mm","T","90","1k",
"R23","R_0201_0603Metric","6.857601mm","21.592201mm","6.857601mm","21.592201mm","6.537601mm","21.592201mm","T","0","20R",
"R24","R_0201_0603Metric","6.857601mm","19.052201mm","6.857601mm","19.052201mm","6.537601mm","19.052201mm","T","0","20R",
"R25","R_0201_0603Metric","6.857601mm","16.537601mm","6.857601mm","16.537601mm","6.537601mm","16.537601mm","T","0","20R",
"R26","R_0201_0603Metric","6.857601mm","13.972201mm","6.857601mm","13.972201mm","6.537601mm","13.972201mm","T","0","20R",
"R27","R_0201_0603Metric","6.857601mm","11.432201mm","6.857601mm","11.432201mm","6.537601mm","11.432201mm","T","0","20R",
"R28","R_0201_0603Metric","6.857601mm","8.892201mm","6.857601mm","8.892201mm","6.537601mm","8.892201mm","T","0","20R",
"R29","R_0201_0603Metric","6.857601mm","6.352201mm","6.857601mm","6.352201mm","6.537601mm","6.352201mm","T","0","20R",
"R3","R_0201_0603Metric","35.178601mm","19.052201mm","35.178601mm","19.052201mm","35.498601mm","19.052201mm","T","180","DNF",
"R30","R_0201_0603Metric","6.857601mm","3.812201mm","6.857601mm","3.812201mm","6.537601mm","3.812201mm","T","0","20R",
"R31","R_0201_0603Metric","6.857601mm","1.272201mm","6.857601mm","1.272201mm","6.537601mm","1.272201mm","T","0","20R",
"R32","R_0201_0603Metric","8.381601mm","21.592201mm","8.381601mm","21.592201mm","8.061601mm","21.592201mm","T","0","1k",
"R4","R_0201_0603Metric","17.271601mm","12.448201mm","17.271601mm","12.448201mm","17.591601mm","12.448201mm","T","180","1k",
"R5","R_0201_0603Metric","28.386801mm","10.797201mm","28.386801mm","10.797201mm","28.706801mm","10.797201mm","T","180","27R",
"R6","R_0201_0603Metric","28.386801mm","10.035201mm","28.386801mm","10.035201mm","28.706801mm","10.035201mm","T","180","27R",
"R7","R_0201_0603Metric","23.367601mm","6.225201mm","23.367601mm","6.225201mm","23.367601mm","5.905201mm","T","90","1k",
"R8","R_0201_0603Metric","24.129601mm","6.225201mm","24.129601mm","6.225201mm","24.129601mm","5.905201mm","T","90","1k",
"R9","R_0201_0603Metric","15.366601mm","1.653201mm","15.366601mm","1.653201mm","15.366601mm","1.333201mm","T","90","1k",
"SW1","SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile","39.877601mm","22.862201mm","39.877601mm","22.862201mm","44.182601mm","22.862201mm","T","180","SW_Push",
"SW2","SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile","39.877601mm","2.542201mm","39.877601mm","2.542201mm","35.572601mm","2.542201mm","T","0","SW_User",
"U1","SOIC-8_5.23x5.23mm_P1.27mm","21.462601mm","21.719201mm","21.462601mm","21.719201mm","17.862601mm","23.624201mm","T","0","W25Q128JVS",
"U2","SOIC-8_5.23x5.23mm_P1.27mm","30.606601mm","20.398401mm","30.606601mm","20.398401mm","32.511601mm","23.998401mm","T","270","W25Q128JVS",
"U3","SOT-223-3_TabPin2","36.194601mm","11.178201mm","36.194601mm","11.178201mm","39.344601mm","8.878201mm","T","180","AMS1117-3.3",
"Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","14.401401mm","12.930801mm","14.401401mm","12.930801mm","15.251401mm","11.830801mm","T","90","12MHz",
"Through Hole Items ",
"J1","USB_A_CNCTech_1001-011-01101_Horizontal","53.339601mm","12.702201mm","53.339601mm","12.702201mm","43.689601mm","16.202201mm","T","0","USB_A",
"J2","PinHeader_1x04_P2.54mm_Vertical","19.176601mm","1.780201mm","19.176601mm","1.780201mm","19.176601mm","1.780201mm","T","90","Conn_01x04",
"J3","PinHeader_2x10_P2.54mm_Vertical","1.269601mm","24.132201mm","1.269601mm","24.132201mm","1.269601mm","24.132201mm","T","0","Conn_02x10_Odd_Even",
"U4","RP2040-QFN-56","22.859601mm","11.686201mm","22.859601mm","11.686201mm","25.459601mm","15.123701mm","T","270","RP2040",
